trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,pegRatio,enterpriseToRevenue,enterpriseToEbitda,profitMargins,operatingMargins,grossMargins,ebitdaMargins,returnOnEquity,returnOnAssets,revenueGrowth,earningsGrowth,earningsQuarterlyGrowth,debtToEquity,currentRatio,quickRatio,totalCash,totalDebt,freeCashflow,operatingCashflow,trailingEps,forwardEps,bookValue,revenuePerShare,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,marketCap,dividendYield,payoutRatio,ticker
,72.6,3.1172178,5.092406,,4.376,-15.354,-0.43038,-0.26382,0.74667,-0.28498,-0.25791,-0.08049,0.229,,,,1.525,1.352,649846016.0,0.0,248284368.0,68844000.0,-1.32,0.2,4.658,2.925,0.766,25.91,14.48,4866537472.0,,0.0,S
,-157.57895,2.941928,,,,-164.312,0.0,0.0,0.0,0.0,-0.052249998,-0.00884,,,,55.304,2.992,2.829,111285000.0,584435968.0,-117628000.0,-10153000.0,-0.4,-0.19,10.177,,1.324,31.35,9.4,3124141056.0,,0.0,SA
,9.588235,-0.6658497,0.21214697,,1.393,9.771,0.18226999,0.13638,0.57945997,0.14257,,0.05223,0.035,,,,1.137,1.024,662238976.0,4218227968.0,61703000.0,873558976.0,-0.61,0.17,-2.448,7.791,1.078,4.63,1.52,643662400.0,,0.0,SABR
,-1.4525547,1.1449943,1651.9491,,739.176,-2.115,163.38321,-376.5713,0.0,0.0,0.18556,-0.22757,,,,3.748,10.495,10.325,110880632.0,6187342.0,-20132516.0,-37530972.0,-1.56,-2.74,3.476,0.012,0.589,6.6,1.0,189475264.0,,0.0,SABS
,3.8928573,0.29603478,13.308582,,87.149,,0.0,-0.00225,1.0,0.0,-0.16328,-0.06221,,,,170.592,10.956,10.945,11172000.0,299591008.0,,5004000.0,-0.78,0.28,3.682,0.083,1.205,1.479,0.801,51983324.0,18.35,9.2,SACH
8.566878,8.2515335,0.4037705,2.4190478,,13.798,16.492,0.28231,0.81365997,0.98874,0.83666,0.0476,0.02888,0.056,0.511,0.515,186.721,40.724,39.554,12123000.0,4521052160.0,-225389632.0,43393000.0,1.57,1.63,33.311,5.571,1.828,21.75,12.76,965122688.0,5.26,0.45099998,SAFE
12.708688,11.936,1.2351607,0.9025188,,0.891,9.12,0.07089,0.11217,0.09814999,0.09774999,0.09969,0.029790001,0.106,0.104,0.094,4.739,0.386,0.265,56233000.0,42626000.0,200119248.0,171367008.0,5.87,6.25,60.397,83.593,0.25,87.28,67.04,1111105408.0,4.93,0.6167,SAFT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAGE
17.303764,10.449676,2.057141,0.14492564,,0.402,9.314,0.008590001,0.03088,0.15536,0.043130003,0.12513,0.05473,0.138,-0.376,-0.369,389.255,1.019,0.258,264400000.0,4162299904.0,172924992.0,588200000.0,3.72,6.16,31.291,445.106,0.904,89.62,52.0,2199695872.0,2.36,0.38439998,SAH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAI
